Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-04-10,1.325206444639894,-0.20228060103156667,-1.7092269793936683,-1.2348773973780418,-0.015288023954209671,0.9927123929562759
2024-04-11,-1.2396565389902818,-1.3197000424886103,-2.144864599981872,-1.8007727986973858,-0.5624296637807168,-0.4278645655263499
2024-04-12,-1.5983066447522867,0.2907962104361499,-1.2586281288698906,-1.3297252999794207,0.3162942008728954,0.5417669052767621
2024-04-15,-0.3185455444229043,2.33689789524322,-0.5709777115126212,-0.6265653131891613,2.435850130446715,1.3228139127521616
2024-04-16,0.7047174494471123,1.942611986550717,-0.41528631352098394,-0.4269237621382295,2.5788275611179476,0.7527060479045428
2024-04-17,1.0641558930454331,2.1494895964847758,0.270647695594627,-0.664265402491829,2.2996124754292,1.7569952922251388
2024-04-18,1.4191423894640949,2.7204399258432495,0.9516134170677566,-0.7535545983900996,2.44450298021488,1.369780150270564
2024-04-19,1.9209591604530638,2.6922282136927014,2.144079120516339,-0.024405934159513493,2.256794082758362,2.902763059085111
2024-04-22,1.4110244754981118,2.0656369784903084,1.3268968531114778,-0.7526728066766493,2.242779431354048,1.84387290907762
2024-04-23,0.9507771103912113,1.150001138375104,0.6724206377130006,-1.38766710443882,1.72760079453376,1.0806336012018642
2024-04-24,0.21456667980331678,0.8898175357987274,1.4336656210001433,-1.567404868965558,0.20092680729432114,1.5898349657498163
2024-04-25,-0.14709787179058229,1.750076597607076,1.9286466030140248,-0.2535781028467835,-0.5621706579726107,0.771980612889584
2024-04-26,0.025373019115778737,0.8977887170378251,0.4588845954075997,-3.689731846005483,-0.4369329188568199,-0.5632247065980434
2024-04-29,-1.3577637785442014,1.1872039329433217,0.13142176081934634,-1.9427101816047063,-2.359983251840439,-0.6236621774029085
2024-04-30,-0.2440830611842352,2.076191903377165,1.4307155779108574,-1.1091935457606024,-1.3582303717167847,-0.30987474820583094
2024-05-01,0.10312142301315218,1.3942699905771079,0.4685363294759361,-1.1981966312422816,-1.034252826417691,0.5508401341171314
2024-05-02,-1.070855231031235,1.0342873971554396,-0.7770703557369861,-1.571195975054887,-0.9798503975307931,-0.23613139451584866
2024-05-03,-3.0169516974808306,0.2152082692716337,-1.0863726117886197,-1.5100668219319107,-0.9793608173708559,-1.0546925703204362
2024-05-06,-2.1458333574804467,-0.4714707187025232,-1.5299067141642562,-1.4823446591144276,-1.1490565530120573,-1.7660092011920383
2024-05-07,-1.9269903815863205,-0.17033227802850512,-1.4509136537614342,-1.7721798206790718,-0.6737645929906246,-1.2355399276389707
2024-05-08,-1.7199669687978207,-0.3840590125536586,-1.2454751702245501,-1.3014399853343481,-0.45321789610145496,-1.1222126487057347
2024-05-09,-1.7783523812041169,-0.7753609093108818,-1.5296757074672367,-1.2553205389207382,-0.27785607204055557,-0.7652310552372088
2024-05-10,-1.4502354547210266,-1.2263471629516447,-1.10058482843053,-0.9508829975506745,-0.05018718792153822,-1.0025062477420879
2024-05-13,-1.67468606214961,-1.083847675755909,-0.8774266205424928,-0.9310371448018487,-0.2471126450159319,-1.0419847884811457
2024-05-14,-1.5983918924031029,-1.4362698252487471,-0.9169589301004796,-1.0220043694302425,-0.5658700042822277,-1.1749000922922637
2024-05-15,-1.6471138487534005,-2.081069564108272,-0.6622694829151107,-1.2494861684946186,-0.26533668806908656,-1.6575341551729197
2024-05-16,-1.4773015982675795,-1.5997370202873227,-0.18487175973462724,-1.3828930728634423,-0.2516805078927395,-1.4209899968228223
2024-05-17,-1.3437032695461026,-1.3507525335544115,-0.3101619623136272,-1.5756813615407346,-0.36670316075266457,-1.0040524456850972
2024-05-20,-1.345215096040302,-1.6638107629679042,-0.016113925387746787,-1.5878447817592671,-0.034421850433011124,-1.4103831098742219
2024-05-21,-1.3645470304592409,-1.7584043407364365,0.10441637167127968,-1.5976638000232313,-1.35808958103489,-1.4068026019777409
2024-05-22,-1.0895834187101126,-1.6531025153261953,0.1898551776537357,-1.2392841558242575,-0.388094796974618,-1.2690729617267558
2024-05-23,-0.5279259908800976,-1.2182999818289022,0.8698354719485024,-0.6764089788494015,0.6433963864002262,-2.8050365920090394
2024-05-24,-0.8512224470004482,-1.3277060762032313,0.9813421711231364,-0.9535427496039826,-0.1546485849815314,-2.5777863528909113
2024-05-28,-0.7716060573515072,-1.207707735177322,0.6287337715885022,-1.1509166522722516,0.15666081835516646,-2.8075743085663367
2024-05-29,-0.7573670490601437,-1.0695954604532476,0.932949845479528,-0.971413168437503,0.21105847713140935,-2.345109132391462
2024-05-30,-0.935793782515455,0.3960373819913676,1.862454122573342,0.07464275346559557,-0.4012633507779185,-1.636493376650647
2024-05-31,-1.2188895502502908,0.5157306707819388,2.2771364045958027,0.05151583159636561,-0.2625787493479553,-1.3801009271427853
2024-06-03,-1.516518063275582,0.8071699939074926,1.5248770206734856,-0.06637159748378649,0.1007670607068339,-1.7251189674018363
2024-06-04,-1.4804878767581389,0.5053031780398479,1.1401453299258406,-0.19045817679109073,0.3864103124562209,-1.6358461327931337
2024-06-05,-1.7320769885303127,-0.46786274767552927,0.5395142305466415,-0.6896218447975723,0.28783678575611893,-1.8998730943479532
2024-06-06,-1.272779564044174,-0.4642793614067266,-0.5900991800252289,-1.0563583601082096,-0.45872313087473726,-1.5606755328013793
2024-06-07,-1.794811075920816,-0.2901363305729086,-0.5114638025444034,-0.15732713061742604,-0.2707677493069758,-1.3942662225486588
2024-06-10,-0.6215518372333982,-0.8396481461963035,-1.4527349151330162,-0.3660580377486195,0.9507334520586491,-1.3284489227749001
2024-06-11,-3.402139547386519,-1.4778091341235742,-1.4749979458383256,-1.047129177051418,1.8630465026166998,-1.1418987553036892
2024-06-12,-3.1339096594911005,-2.3272584063079513,-1.3714278590147835,-1.584302396418104,-0.18244069502357516,-1.3737766676411676
2024-06-13,-2.535711634745387,-2.0044442840458383,-0.40110658674895655,-0.042667264259015424,-1.5629955226115546,-1.5673953425118616
2024-06-14,-1.9428264194491633,-1.8205990235149327,-0.34237484407472074,-0.9160998040330848,-0.21560052251873912,-1.5792032074964797
